window_km,effect_threshold_mm_yr,distance_tolerance_m,n_total_crossings,n_analyzed,n_raw_p_lt_0_05,n_fdr_sig,n_truly_sig,median_abs_effect_mm_yr,background_r2,residual_std_mm_yr
0.5,0.3,250,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.3,500,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.3,1000,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.5,250,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.5,500,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.5,1000,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.7,250,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.7,500,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
0.5,0.7,1000,5,4,0,0,0,0.5055304001525744,0.001481364048608212,1.8173710834354233
1.0,0.3,250,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.3,500,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.3,1000,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.5,250,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.5,500,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.5,1000,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.7,250,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.7,500,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
1.0,0.7,1000,5,4,1,0,0,0.9178842853200637,0.001481364048608212,1.8173710834354233
2.0,0.3,250,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.3,500,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.3,1000,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.5,250,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.5,500,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.5,1000,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.7,250,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.7,500,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
2.0,0.7,1000,5,4,1,0,0,1.0539660065400138,0.001481364048608212,1.8173710834354233
